,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2009,Northwest Division
1,54,28,.659,—,104.3,100.9,3.13,2009,Denver Nuggets*
2,54,28,.659,—,99.4,94.1,5.00,2009,Portland Trail Blazers*
3,48,34,.585,6.0,103.6,100.9,2.31,2009,Utah Jazz*
4,24,58,.293,30.0,97.8,102.7,-4.74,2009,Minnesota Timberwolves
5,23,59,.280,31.0,97.0,103.1,-6.04,2009,Oklahoma City Thunder
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2009,Pacific Division
7,65,17,.793,—,106.9,99.3,7.11,2009,Los Angeles Lakers*
8,46,36,.561,19.0,109.4,107.5,1.62,2009,Phoenix Suns
9,29,53,.354,36.0,108.6,112.3,-3.80,2009,Golden State Warriors
10,19,63,.232,46.0,95.1,103.9,-8.47,2009,Los Angeles Clippers
11,17,65,.207,48.0,100.6,109.3,-8.60,2009,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2009,Southwest Division
13,54,28,.659,—,97.0,93.3,3.36,2009,San Antonio Spurs*
14,53,29,.646,1.0,98.4,94.4,3.73,2009,Houston Rockets*
15,50,32,.610,4.0,101.7,99.8,1.68,2009,Dallas Mavericks*
16,49,33,.598,5.0,95.8,94.3,1.41,2009,New Orleans Hornets*
17,24,58,.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2010,Northwest Division
1,53,29,.646,—,106.5,102.4,4.15,2010,Denver Nuggets*
2,53,29,.646,—,104.2,98.9,5.33,2010,Utah Jazz*
3,50,32,.610,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers*
4,50,32,.610,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder*
5,15,67,.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves
6,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,2010,Pacific Division
7,57,25,.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers*
8,54,28,.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns*
9,29,53,.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers
10,26,56,.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors
11,25,57,.305,32.0,100.0,104.4,-4.06,2010,Sacramento Kings
12,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,Southwest Division,2010,Southwest Division
13,55,27,.671,—,102.0,99.3,2.66,2010,Dallas Mavericks*
14,50,32,.610,5.0,101.4,96.3,5.07,2010,San Antonio Spurs*
15,42,40,.512,13.0,102.4,102.7,-0.02,2010,Houston Rockets
16,40,42,.488,15.0,102.5,104.0,-1.39,2010,Memphis Grizzlies
17,37,45,.451,18.0,100.2,102.7,-2.27,2010,New Orleans Hornets
0,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,Northwest Division,2011,Northwest Division
